# умение -> визуальный эффект. LineageSkillEffect.u, клиент High Five rev.268 (EN)
# skill_id: поле SkillID класса l2_<id>_skill, оно же skill_visual_effect из skillgrp.dat.
#   у 98 классов поле в дефолтах не задано - там id взят из имени класса.
# phase: массив, в котором лежит запись. attach_on: 0 None 1 Location 2 RH 3 LH 4 RA 5 LA
#   6 Wing 7 BoneSpecified 8 AliasSpecified 9 Trail 10 Agathion; пусто = не задан (дефолт 0).
# пустой effect_class = у записи нет EffectClass (30 таких на весь пакет).
skill_id	phase	effect_class	attach_on	bone	spawn_delay	scale	on_target
1	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
1	CastingAction	LineageEffect.s_u010_b	2				
1	CastingAction	LineageEffect.s_u010_b	3				
2	CastingAction	LineageEffect.m_u018_a	9			1	
2	CastingAction	LineageEffect.m_u018_a	9			1	
2	CastingAction	LineageEffect.m_u018_a	9			0.8	
2	CastingAction	LineageEffect.m_u018_a	9			0.6	
2	ShotAction	LineageEffect.m_u018_b	9				
2	ShotAction	LineageEffect.m_u018_b	9				
2	ShotAction	LineageEffect.d_purplebubble_fl				0.4	
2	ShotAction	LineageEffect.m_u018_b	9				
2	ExplosionAction	LineageEffect.m_u018_b	9				
2	ExplosionAction	LineageEffect.at_fatal_strike_ta	9			0.8	
2	ExplosionAction	LineageEffect.at_fatal_strike_ta	9			1.2	
3	CastingAction	LineageEffect.s_u002_a	2				
3	ShotAction	LineageEffect.p_u002_a	9				
4	CastingAction	LineageEffect.mo_dash_ca	9				
4	CastingAction	LineageEffect.z_common_short_ca	9			1	
4	CastingAction	LineageEffect.mo_dash_ta	9				
4	CastingAction	LineageEffect.mo_dash_ca	9				
4	CastingAction	LineageEffect.mo_dash_ca	9				
4	CastingAction	LineageEffect.mo_dash_ca	9				
4	ShotAction	LineageEffect.mo_dash_ta	9				
4	ShotAction	LineageEffect.mo_dash_ta	9				
4	ShotAction	LineageEffect.mo_dash_ta	9				
4	ShotAction	LineageEffect.mo_dash_ta	9				
5	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
5	CastingAction	LineageEffect.s_u010_b	2				
5	CastingAction	LineageEffect.s_u010_b	3				
5	ShotAction	LineageEffect.s_u015_b	9				
6	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
