step,t_hours,phase,isDay,sunDirX,sunDirY,sunDirZ,sunElevDeg,sunAzimDeg,moonDirX,moonDirY,moonDirZ,moonElevDeg,moonAzimDeg,sunCacheX,sunCacheY,sunCacheZ,moonCacheX,moonCacheY,moonCacheZ,sunLocX,sunLocY,sunLocZ,moonLocX,moonLocY,moonLocZ,sunDrawScale,moonDrawScale,sunScale,moonScale,sunModA,sunModB,sunModC,moonModA,moonModB,moonModC,moonR,moonG,moonB,moonHex,slopeSunAngle,azimuth,dramaticDiffuse
0,0.000000,3,0,1.000000,0.000000,0.000000,0.000,0.000,-1.000000,-0.000000,-0.000000,-0.000,-180.000,1.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-121.797,264339.156,24439.020,473.203,264339.156,24439.020,16.000000,4.500000,0.000000,4.500000,1.570796,3.141593,0.000000,-1.570796,3.141593,0.000000,255,180,151,#FFB497,30.000000,180.000000,0.000000
1,0.083624,3,0,0.999042,-0.021881,0.037910,2.173,-1.255,-0.999048,0.021805,-0.037778,-2.165,178.750,0.999894,-0.007270,0.012597,-0.999048,0.021805,-0.037778,-25.279,264437.875,24531.623,569.450,264430.000,24545.287,16.000000,4.458333,0.000000,4.458188,1.585392,3.141593,0.000000,-1.527011,3.141593,0.000000,255,177,145,#FFB191,30.000000,180.000000,0.000000
2,0.167247,3,0,0.996168,-0.043720,0.075747,4.344,-2.513,-0.996195,0.043568,-0.075485,-4.329,177.496,0.999577,-0.014539,0.025190,-0.996195,0.043568,-0.075485,-25.168,264440.438,24527.215,568.751,264424.656,24554.525,16.000000,4.416667,0.000000,4.416376,1.599987,3.141593,0.000000,-1.483226,3.141593,0.000000,255,174,140,#FFAE8C,30.000000,180.000000,0.000000
3,0.250871,3,0,0.991385,-0.065475,0.113439,6.514,-3.779,-0.991445,0.065249,-0.113047,-6.491,176.235,0.999048,-0.021805,0.037778,-0.991445,0.065249,-0.113047,-24.983,264442.969,24522.809,567.588,264419.344,24563.729,16.000000,4.375000,0.000000,4.374565,1.614582,3.141593,0.000000,-1.439441,3.141593,0.000000,255,171,134,#FFAB86,30.000000,180.000000,0.000000
4,0.334495,3,0,0.984702,-0.087104,0.150914,8.680,-5.055,-0.984808,0.086805,-0.150395,-8.650,174.963,0.998308,-0.029066,0.050359,-0.984808,0.086805,-0.150395,-24.724,264445.531,24518.406,565.961,264414.062,24572.879,16.000000,4.333333,0.000000,4.332753,1.629177,3.141593,0.000000,-1.395655,3.141593,0.000000,255,169,129,#FFA981,30.000000,180.000000,0.000000
5,0.418118,3,0,0.976131,-0.108567,0.188099,10.842,-6.346,-0.976296,0.108196,-0.187456,-10.804,173.676,0.997357,-0.036321,0.062928,-0.976296,0.108196,-0.187456,-24.391,264448.062,24514.006,563.876,264408.844,24581.957,16.000000,4.291667,0.000000,4.290941,1.643772,3.141593,0.000000,-1.351870,3.141593,0.000000,255,166,123,#FFA67B,30.000000,180.000000,0.000000
6,0.501742,3,0,0.965689,-0.129821,0.224923,12.998,-7.657,-0.965926,0.129381,-0.224160,-12.954,172.371,0.996195,-0.043568,0.075485,-0.965926,0.129381,-0.224160,-23.985,264450.594,24509.611,561.335,264403.656,24590.951,16.000000,4.250000,0.000000,4.249129,1.658367,3.141593,0.000000,-1.308085,3.141593,0.000000,255,163,118,#FFA376,30.000000,180.000000,0.000000
7,0.585366,3,0,0.953396,-0.150827,0.261317,15.148,-8.990,-0.953717,0.150320,-0.260438,-15.096,171.043,0.994822,-0.050806,0.088025,-0.953717,0.150320,-0.260438,-23.504,264453.125,24505.223,558.344,264398.500,24599.838,16.000000,4.208333,0.000000,4.207317,1.672962,3.141593,0.000000,-1.264300,3.141593,0.000000,255,160,112,#FFA070,30.000000,180.000000,0.000000
8,0.668990,3,0,0.939276,-0.171543,0.297210,17.290,-10.350,-0.939693,0.170972,-0.296220,-17.231,169.688,0.993238,-0.058033,0.100547,-0.939693,0.170972,-0.296220,-22.950,264455.656,24500.840,554.908,264393.469,24608.605,16.000000,4.166667,0.000000,4.165505,1.687557,3.141593,0.000000,-1.220514,3.141593,0.000000,255,158,107,#FF9E6B,30.000000,180.000000,0.000000
9,0.752613,3,0,0.923355,-0.191931,0.332533,19.423,-11.742,-0.923880,0.191299,-0.331438,-19.356,168.302,0.991445,-0.065249,0.113048,-0.923880,0.191299,-0.331438,-22.322,264458.188,24496.465,551.034,264388.469,24617.234,16.000000,4.125000,0.000000,4.123693,1.702152,3.141593,0.000000,-1.176729,3.141593,0.000000,255,155,102,#FF9B66,30.000000,180.000000,0.000000
10,0.836237,3,0,0.905664,-0.211951,0.367218,21.544,-13.172,-0.906308,0.211262,-0.366025,-21.471,166.879,0.989442,-0.072450,0.125524,-0.906308,0.211262,-0.366025,-21.621,264460.688,24492.098,546.729,264383.594,24625.707,16.000000,4.083333,0.000000,4.081882,1.716747,3.141593,0.000000,-1.132944,3.141593,0.000000,255,152,96,#FF9860,30.000000,180.000000,0.000000
11,0.919861,3,0,0.886237,-0.231564,0.401200,23.653,-14.643,-0.887011,0.230823,-0.399915,-23.573,165.414,0.987229,-0.079636,0.137974,-0.887011,0.230823,-0.399915,-20.847,264463.219,24487.740,542.001,264378.781,24634.010,16.000000,4.041667,0.000000,4.040070,1.731342,3.141593,0.000000,-1.089159,3.141593,0.000000,255,150,91,#FF965B,30.000000,180.000000,0.000000
12,1.003484,3,0,0.865112,-0.250734,0.434412,25.748,-16.163,-0.866025,0.249945,-0.433045,-25.661,163.901,0.000000,-0.499889,0.866089,-0.866025,0.249945,-0.433045,324.684,264610.312,24232.900,536.860,264374.094,24642.127,16.000000,4.000000,0.000000,3.998258,-3.141593,3.141593,0.000000,-1.045373,3.141593,0.000000,255,147,85,#FF9355,30.000000,180.000000,0.000000
13,1.087108,3,0,0.842328,-0.269423,0.466792,27.826,-17.737,-0.843391,0.268590,-0.465349,-27.733,162.335,0.000000,-0.499889,0.866089,-0.843391,0.268590,-0.465349,324.684,264610.312,24232.900,531.315,264369.531,24650.041,16.000000,3.958333,0.000000,3.956446,-3.141593,3.141593,0.000000,-1.001588,3.141593,0.000000,255,144,80,#FF9050,30.000000,180.000000,0.000000
14,1.170732,3,0,0.817930,-0.287596,0.498277,29.886,-19.372,-0.819152,0.286725,-0.496768,-29.786,160.709,0.000000,-0.499889,0.866089,-0.819152,0.286725,-0.496768,324.684,264610.312,24232.900,525.376,264365.094,24657.740,16.000000,3.916667,0.000000,3.914634,-3.141593,3.141593,0.000000,-0.957803,3.141593,0.000000,255,141,74,#FF8D4A,30.000000,180.000000,0.000000
15,1.254355,3,0,0.791963,-0.305217,0.528807,31.925,-21.076,-0.793353,0.304313,-0.527242,-31.819,159.014,0.000000,-0.499889,0.866089,-0.793353,0.304313,-0.527242,324.684,264610.312,24232.900,519.055,264360.781,24665.205,16.000000,3.875000,0.000000,3.872822,-3.141593,3.141593,0.000000,-0.914017,3.141593,0.000000,255,139,69,#FF8B45,30.000000,180.000000,0.000000
16,1.337979,3,0,0.764479,-0.322253,0.558324,33.940,-22.857,-0.766044,0.321323,-0.556711,-33.829,157.244,0.000000,-0.499889,0.866089,-0.766044,0.321323,-0.556711,324.684,264610.312,24232.900,512.365,264356.625,24672.426,16.000000,3.833333,0.000000,3.831010,-3.141593,3.141593,0.000000,-0.870232,3.141593,0.000000,255,136,64,#FF8840,30.000000,180.000000,0.000000
