t_hours,sheetR01,sheetG01,sheetB01,silhouetteR01,silhouetteG01,silhouetteB01
0,0.266667,0.309804,0.45098,0.266667,0.309804,0.45098
0.083333,0.266667,0.309804,0.45098,0.278431,0.298039,0.415686
0.166667,0.270588,0.313725,0.454902,0.294118,0.286275,0.384314
0.25,0.270588,0.317647,0.458824,0.309804,0.278431,0.352941
0.333333,0.27451,0.317647,0.462745,0.32549,0.266667,0.321569
0.416667,0.27451,0.321569,0.466667,0.341176,0.254902,0.290196
0.5,0.278431,0.32549,0.470588,0.356863,0.247059,0.258824
0.583333,0.282353,0.32549,0.47451,0.368627,0.235294,0.227451
0.666667,0.282353,0.329412,0.478431,0.384314,0.223529,0.196078
0.75,0.286275,0.333333,0.482353,0.4,0.215686,0.164706
0.833333,0.286275,0.333333,0.486275,0.415686,0.203922,0.133333
0.916667,0.290196,0.337255,0.490196,0.431373,0.192157,0.101961
1,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.083333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.166667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.25,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.333333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.416667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.5,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.583333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.666667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.75,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.833333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
1.916667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
2,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
2.083333,0.294118,0.341176,0.494118,0.407843,0.168627,0.062745
2.166667,0.294118,0.341176,0.494118,0.368627,0.152941,0.054902
2.25,0.294118,0.341176,0.494118,0.333333,0.137255,0.05098
2.333333,0.294118,0.341176,0.494118,0.298039,0.121569,0.047059
2.416667,0.294118,0.341176,0.494118,0.258824,0.105882,0.039216
2.5,0.294118,0.341176,0.494118,0.223529,0.090196,0.035294
2.583333,0.294118,0.341176,0.494118,0.184314,0.07451,0.027451
2.666667,0.294118,0.341176,0.494118,0.145098,0.058824,0.019608
2.75,0.294118,0.341176,0.494118,0.109804,0.043137,0.015686
2.833333,0.294118,0.341176,0.494118,0.070588,0.027451,0.007843
2.916667,0.294118,0.341176,0.494118,0.035294,0.011765,0.003922
3,0.294118,0.341176,0.494118,0,0,0
3.083333,0.294118,0.341176,0.494118,0.035294,0.011765,0.003922
3.166667,0.294118,0.341176,0.494118,0.07451,0.027451,0.011765
3.25,0.294118,0.341176,0.494118,0.109804,0.043137,0.015686
3.333333,0.294118,0.341176,0.494118,0.145098,0.058824,0.019608
3.416667,0.294118,0.341176,0.494118,0.184314,0.07451,0.027451
3.5,0.294118,0.341176,0.494118,0.223529,0.090196,0.035294
3.583333,0.294118,0.341176,0.494118,0.258824,0.105882,0.039216
3.666667,0.294118,0.341176,0.494118,0.298039,0.121569,0.047059
3.75,0.294118,0.341176,0.494118,0.333333,0.137255,0.05098
3.833333,0.294118,0.341176,0.494118,0.372549,0.152941,0.058824
3.916667,0.294118,0.341176,0.494118,0.407843,0.168627,0.062745
4,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.083333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.166667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.25,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.333333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.416667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.5,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.583333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.666667,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.75,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.85,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
4.933333,0.294118,0.341176,0.494118,0.447059,0.184314,0.070588
5.016667,0.290196,0.337255,0.490196,0.443137,0.180392,0.066667
5.1,0.286275,0.333333,0.482353,0.423529,0.172549,0.066667
5.183333,0.282353,0.329412,0.478431,0.403922,0.164706,0.062745
5.266667,0.278431,0.32549,0.470588,0.384314,0.156863,0.058824
5.35,0.27451,0.317647,0.462745,0.368627,0.14902,0.054902
5.433333,0.270588,0.313725,0.454902,0.34902,0.141176,0.054902
5.516667,0.266667,0.309804,0.45098,0.329412,0.133333,0.05098
5.6,0.262745,0.305882,0.443137,0.309804,0.12549,0.047059
5.683333,0.258824,0.298039,0.435294,0.294118,0.117647,0.043137
5.766667,0.254902,0.294118,0.427451,0.27451,0.109804,0.043137
5.85,0.25098,0.290196,0.423529,0.254902,0.101961,0.039216
5.933333,0.247059,0.286275,0.415686,0.235294,0.094118,0.035294
6.016667,0.258824,0.290196,0.415686,0.219608,0.086275,0.031373
6.1,0.321569,0.345098,0.447059,0.2,0.078431,0.031373
6.183333,0.384314,0.4,0.482353,0.180392,0.070588,0.027451
6.266667,0.447059,0.454902,0.513725,0.160784,0.062745,0.023529
6.35,0.509804,0.509804,0.545098,0.145098,0.054902,0.019608
6.433333,0.572549,0.560784,0.576471,0.12549,0.05098,0.019608
6.516667,0.635294,0.615686,0.611765,0.105882,0.043137,0.015686
6.6,0.698039,0.670588,0.643137,0.086275,0.035294,0.011765
6.683333,0.760784,0.72549,0.67451,0.070588,0.027451,0.007843
6.766667,0.823529,0.780392,0.705882,0.05098,0.019608,0.007843
6.85,0.886275,0.835294,0.741176,0.031373,0.011765,0.003922
6.933333,0.94902,0.886275,0.772549,0.011765,0.003922,0
7.016667,1,0.933333,0.8,0,0,0
7.1,1,0.933333,0.8,0,0,0
7.183333,1,0.933333,0.8,0,0,0
7.266667,1,0.933333,0.8,0,0,0
7.35,1,0.933333,0.8,0,0,0
7.433333,1,0.933333,0.8,0,0,0
7.516667,1,0.933333,0.8,0,0,0
7.6,1,0.933333,0.8,0,0,0
7.683333,1,0.933333,0.8,0,0,0
7.766667,1,0.933333,0.8,0,0,0
7.85,1,0.933333,0.8,0,0,0
7.933333,1,0.933333,0.8,0,0,0
8.016666,1,0.933333,0.8,0,0,0
8.1,1,0.933333,0.8,0,0,0
8.183333,1,0.933333,0.8,0,0,0
8.266666,1,0.933333,0.8,0,0,0
8.35,1,0.933333,0.8,0,0,0
8.433333,1,0.933333,0.8,0,0,0
8.516666,1,0.933333,0.8,0,0,0
8.6,1,0.933333,0.8,0,0,0
8.683333,1,0.933333,0.8,0,0,0
8.766666,1,0.933333,0.8,0,0,0
8.85,1,0.933333,0.8,0,0,0
8.933333,1,0.933333,0.8,0,0,0
9.016666,1,0.933333,0.8,0,0,0
9.1,1,0.937255,0.819608,0,0,0
9.183333,1,0.945098,0.835294,0,0,0
9.266666,1,0.94902,0.85098,0,0,0
9.35,1,0.952941,0.866667,0,0,0
9.433333,1,0.960784,0.886275,0,0,0
9.516666,1,0.964706,0.901961,0,0,0
9.616667,1,0.972549,0.921569,0,0,0
9.7,1,0.976471,0.937255,0,0,0
9.783334,1,0.984314,0.952941,0,0,0
9.866667,1,0.988235,0.972549,0,0,0
9.95,1,0.996078,0.988235,0,0,0
10.033334,1,1,1,0,0,0
10.116667,1,1,1,0,0,0
10.2,1,1,1,0,0,0
10.283334,1,1,1,0,0,0
10.366667,1,1,1,0,0,0
10.45,1,1,1,0,0,0
10.533334,1,1,1,0,0,0
10.616667,1,1,1,0,0,0
10.7,1,1,1,0,0,0
10.783334,1,1,1,0,0,0
10.866667,1,1,1,0,0,0
10.95,1,1,1,0,0,0
11.033334,1,1,1,0,0,0
11.116667,1,1,1,0,0,0
11.2,1,1,1,0,0,0
11.283334,1,1,1,0,0,0
11.366667,1,1,1,0,0,0
11.45,1,1,1,0,0,0
11.533334,1,1,1,0,0,0
11.616667,1,1,1,0,0,0
11.7,1,1,1,0,0,0
11.783334,1,1,1,0,0,0
11.866667,1,1,1,0,0,0
11.95,1,1,1,0,0,0
12.033334,1,1,1,0,0,0
12.116667,1,1,1,0,0,0
12.2,1,1,1,0,0,0
12.283334,1,1,1,0,0,0
12.366667,1,1,1,0,0,0
12.45,1,1,1,0,0,0
12.533334,1,1,1,0,0,0
12.616667,1,1,1,0,0,0
12.7,1,1,1,0,0,0
12.783334,1,1,1,0,0,0
12.866667,1,1,1,0,0,0
12.95,1,1,1,0,0,0
13.033334,1,1,1,0,0,0
13.116667,1,1,1,0,0,0
13.2,1,1,1,0,0,0
13.283334,1,1,1,0,0,0
13.366667,1,1,1,0,0,0
13.45,1,1,1,0,0,0
13.533334,1,1,1,0,0,0
13.616667,1,1,1,0,0,0
13.7,1,1,1,0,0,0
13.783334,1,1,1,0,0,0
13.866667,1,1,1,0,0,0
13.95,1,1,1,0,0,0
14.033334,1,1,1,0,0,0
14.116667,1,1,1,0,0,0
14.2,1,1,1,0,0,0
14.283334,1,1,1,0,0,0
14.366667,1,1,1,0,0,0
14.466667,1,1,1,0,0,0
14.55,1,1,1,0,0,0
14.633333,1,1,1,0,0,0
14.716667,1,1,1,0,0,0
14.8,1,1,1,0,0,0
14.883333,1,1,1,0,0,0
14.966667,1,1,1,0,0,0
15.05,1,1,1,0,0,0
15.133333,1,1,1,0,0,0
15.216666,1,1,1,0,0,0
15.3,1,1,1,0,0,0
15.383333,1,1,1,0,0,0
15.466667,1,1,1,0,0,0
15.55,1,1,1,0,0,0
15.633333,1,1,1,0,0,0
15.716667,1,1,1,0,0,0
15.8,1,1,1,0,0,0
15.883333,1,1,1,0,0,0
15.966667,1,1,1,0,0,0
16.049999,1,1,1,0,0,0
16.133333,1,1,1,0,0,0
16.216667,1,1,1,0,0,0
16.299999,1,1,1,0,0,0
16.383333,1,1,1,0,0,0
16.466667,1,1,1,0,0,0
16.549999,1,1,1,0,0,0
16.633333,1,1,1,0,0,0
16.716667,1,1,1,0,0,0
16.799999,1,1,1,0,0,0
16.883333,1,1,1,0,0,0
16.966667,1,1,1,0,0,0
17.049999,1,0.988235,0.980392,0,0,0
17.133333,1,0.968627,0.952941,0,0,0
17.216667,1,0.94902,0.921569,0,0,0
17.299999,1,0.929412,0.894118,0,0,0
17.383333,1,0.909804,0.862745,0,0,0
17.466667,1,0.890196,0.835294,0,0,0
17.549999,1,0.87451,0.807843,0,0,0
17.633333,1,0.854902,0.776471,0,0,0
17.716667,1,0.835294,0.74902,0,0,0
17.799999,1,0.815686,0.717647,0,0,0
17.883333,1,0.796078,0.690196,0,0,0
17.966667,1,0.776471,0.658824,0,0,0
18.049999,1,0.768627,0.643137,0,0,0
18.133333,1,0.764706,0.635294,0,0,0
18.216667,1,0.756863,0.627451,0,0,0
18.299999,1,0.752941,0.619608,0,0,0
18.383333,1,0.74902,0.611765,0,0,0
18.466667,1,0.745098,0.603922,0,0,0
18.549999,1,0.737255,0.596078,0,0,0
18.633333,1,0.733333,0.588235,0,0,0
18.716667,1,0.729412,0.580392,0,0,0
18.799999,1,0.72549,0.572549,0,0,0
18.883333,1,0.717647,0.564706,0,0,0
18.966667,1,0.713725,0.556863,0,0,0
19.049999,1,0.713725,0.556863,0,0,0
19.133333,1,0.713725,0.556863,0,0,0
19.233334,1,0.713725,0.556863,0,0,0
19.316668,1,0.713725,0.556863,0,0,0
19.4,1,0.713725,0.556863,0,0,0
19.483334,1,0.713725,0.556863,0,0,0
19.566668,1,0.713725,0.556863,0,0,0
19.65,1,0.713725,0.556863,0,0,0
