step,t_hours,t01,phase,phaseName,envType,skyR,skyG,skyB,sunR,sunG,sunB,actorR,actorG,actorB,skyR01,skyG01,skyB01,sunR01,sunG01,sunB01,actorR01,actorG01,actorB01,skyHex,sunHex,actorHex
0,0,0,3,night,0,58,49,70,0,0,0,75,103,131,0.227451,0.192157,0.27451,0,0,0,0.294118,0.403922,0.513725,#3A3146,#000000,#4B6783
1,0.083624,0.003484,3,night,0,56,49,70,0,0,0,75,103,131,0.219608,0.192157,0.27451,0,0,0,0.294118,0.403922,0.513725,#383146,#000000,#4B6783
2,0.167247,0.006969,3,night,0,54,49,70,0,0,0,76,103,131,0.211765,0.192157,0.27451,0,0,0,0.298039,0.403922,0.513725,#363146,#000000,#4C6783
3,0.250871,0.010453,3,night,0,53,49,70,0,0,0,77,104,131,0.207843,0.192157,0.27451,0,0,0,0.301961,0.407843,0.513725,#353146,#000000,#4D6883
4,0.334495,0.013937,3,night,0,51,49,70,0,0,0,78,104,131,0.2,0.192157,0.27451,0,0,0,0.305882,0.407843,0.513725,#333146,#000000,#4E6883
5,0.418118,0.017422,3,night,0,50,49,70,0,0,0,78,105,131,0.196078,0.192157,0.27451,0,0,0,0.305882,0.411765,0.513725,#323146,#000000,#4E6983
6,0.501742,0.020906,3,night,0,48,49,70,0,0,0,79,105,131,0.188235,0.192157,0.27451,0,0,0,0.309804,0.411765,0.513725,#303146,#000000,#4F6983
7,0.585366,0.02439,3,night,0,47,49,70,0,0,0,80,105,131,0.184314,0.192157,0.27451,0,0,0,0.313725,0.411765,0.513725,#2F3146,#000000,#506983
8,0.66899,0.027875,3,night,0,45,49,70,0,0,0,81,106,131,0.176471,0.192157,0.27451,0,0,0,0.317647,0.415686,0.513725,#2D3146,#000000,#516A83
9,0.752613,0.031359,3,night,0,44,49,70,0,0,0,81,106,131,0.172549,0.192157,0.27451,0,0,0,0.317647,0.415686,0.513725,#2C3146,#000000,#516A83
10,0.836237,0.034843,3,night,0,42,49,70,0,0,0,82,107,131,0.164706,0.192157,0.27451,0,0,0,0.321569,0.419608,0.513725,#2A3146,#000000,#526B83
