t_hours,hazeR01,hazeG01,hazeB01
0.000000,0.188235,0.243137,0.329412
0.083624,0.188235,0.243137,0.329412
0.167247,0.188235,0.243137,0.329412
0.250871,0.188235,0.243137,0.329412
0.334495,0.188235,0.243137,0.329412
0.418118,0.188235,0.243137,0.329412
0.501742,0.188235,0.243137,0.329412
0.585366,0.188235,0.243137,0.329412
0.668990,0.188235,0.243137,0.329412
0.752613,0.188235,0.243137,0.329412
0.836237,0.188235,0.243137,0.329412
0.919861,0.188235,0.243137,0.329412
1.003484,0.184314,0.239216,0.325490
1.087108,0.180392,0.231373,0.317647
1.170732,0.176471,0.223529,0.305882
1.254355,0.168627,0.215686,0.298039
1.337979,0.164706,0.207843,0.286275
1.421603,0.156863,0.200000,0.278431
1.505227,0.152941,0.192157,0.266667
1.588850,0.145098,0.184314,0.258824
1.672474,0.141176,0.176471,0.247059
1.756098,0.137255,0.168627,0.239216
1.839721,0.129412,0.160784,0.227451
1.923345,0.125490,0.152941,0.219608
2.006968,0.121569,0.149020,0.211765
2.090592,0.121569,0.149020,0.211765
2.174216,0.121569,0.149020,0.211765
2.257840,0.121569,0.149020,0.211765
2.341463,0.121569,0.149020,0.211765
2.425087,0.121569,0.149020,0.211765
2.508711,0.121569,0.149020,0.211765
2.592335,0.121569,0.149020,0.211765
2.675958,0.121569,0.149020,0.211765
2.759582,0.121569,0.149020,0.211765
2.843205,0.121569,0.149020,0.211765
2.926829,0.121569,0.149020,0.211765
3.010453,0.121569,0.149020,0.211765
3.094077,0.125490,0.156863,0.219608
3.177700,0.133333,0.164706,0.231373
3.261324,0.137255,0.172549,0.239216
3.344948,0.141176,0.180392,0.250980
3.428572,0.149020,0.188235,0.258824
3.512195,0.152941,0.196078,0.270588
3.595819,0.160784,0.203922,0.278431
3.679442,0.164706,0.211765,0.290196
3.763066,0.168627,0.219608,0.298039
3.846690,0.176471,0.227451,0.309804
3.930314,0.180392,0.235294,0.317647
4.013937,0.188235,0.243137,0.329412
4.097561,0.192157,0.247059,0.341176
4.181185,0.200000,0.254902,0.349020
4.264809,0.207843,0.258824,0.360784
4.348432,0.211765,0.262745,0.372549
4.432055,0.219608,0.270588,0.384314
4.515679,0.227451,0.274510,0.396078
4.599303,0.231373,0.282353,0.403922
4.682927,0.239216,0.286275,0.415686
4.766551,0.247059,0.294118,0.427451
4.850174,0.254902,0.298039,0.439216
4.933798,0.258824,0.301961,0.447059
5.017422,0.270588,0.309804,0.458824
5.101045,0.294118,0.317647,0.466667
5.184669,0.317647,0.329412,0.478431
5.268292,0.341176,0.337255,0.486275
5.351916,0.360784,0.349020,0.494118
5.435540,0.384314,0.356863,0.505882
5.519164,0.407843,0.368627,0.513726
5.602787,0.431373,0.376471,0.521569
5.686411,0.454902,0.384314,0.533333
5.770035,0.478431,0.396078,0.541176
5.853659,0.501961,0.403922,0.549020
5.937282,0.525490,0.415686,0.560784
6.020906,0.545098,0.427451,0.568627
6.104529,0.560784,0.443137,0.584314
6.188153,0.572549,0.462745,0.600000
6.271777,0.588235,0.478431,0.615686
6.355401,0.600000,0.498039,0.627451
6.439025,0.615686,0.517647,0.643137
6.522648,0.627451,0.533333,0.658824
6.606272,0.643137,0.552941,0.674510
6.689896,0.654902,0.568627,0.690196
6.773519,0.670588,0.588235,0.701961
6.857143,0.686275,0.607843,0.717647
6.940766,0.698039,0.623529,0.733333
7.024390,0.709804,0.639216,0.745098
7.108014,0.709804,0.639216,0.745098
7.191638,0.709804,0.639216,0.745098
7.275262,0.709804,0.639216,0.745098
7.358885,0.709804,0.639216,0.745098
7.442509,0.709804,0.639216,0.745098
7.526133,0.709804,0.639216,0.745098
7.609756,0.709804,0.639216,0.745098
7.693380,0.709804,0.639216,0.745098
7.777003,0.709804,0.639216,0.745098
7.860627,0.709804,0.639216,0.745098
7.944251,0.709804,0.639216,0.745098
8.027874,0.717647,0.647059,0.745098
8.111499,0.741176,0.670588,0.749020
8.195122,0.764706,0.694118,0.756863
8.278746,0.788235,0.721569,0.760784
8.362370,0.811765,0.745098,0.764706
8.445993,0.839216,0.768627,0.772549
8.529617,0.862745,0.796078,0.776471
8.613240,0.886275,0.819608,0.780392
8.696864,0.909804,0.843137,0.788235
8.780488,0.933333,0.870588,0.792157
8.864111,0.956863,0.894118,0.796078
8.947736,0.984314,0.921569,0.803922
9.031359,0.988235,0.929412,0.807843
9.114983,0.968627,0.917647,0.815686
9.198606,0.945098,0.905882,0.819608
9.282230,0.925490,0.894118,0.827451
9.365853,0.901961,0.882353,0.831373
9.449477,0.878431,0.870588,0.839216
9.533101,0.858824,0.858824,0.843137
9.616725,0.835294,0.847059,0.850980
9.700348,0.815686,0.835294,0.854902
9.783972,0.792157,0.823529,0.862745
9.867596,0.768627,0.811765,0.866667
9.951220,0.749020,0.800000,0.874510
