"npc_id","class_name","mesh_name","deco_effect","scale"
"9036","LineageNPC2.br_blessed_taiboy","Branch2.br_blessed_taigirl_m00","LineageEffect.d_heartmark_deco","2.0"
"9037","LineageWarrior.MElf_DeathKnight","Elf.MElf_m000_f","LineageEffect2.h_new_clothB_deco","1.0"
"9040","LineageMonster14.fhighelf_npc","HighElf.FHighElf_m000_f","LineageEffect2.npc_stand_deco","0.0"
"13400","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.5"
"13401","LineageNPC.snow_gourd_bk","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.5"
"13402","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","1.5"
"13404","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.7"
"13405","LineageNPC.snow_gourd_bk","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.5"
"13406","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","2.0"
"13407","LineageNPC4.agathion_pis","LineageNPCs4.agathion_pis_m00","LineageEffect.u_aga_pis","1.0"
"13408","LineageNPC4.agathion_aqu","LineageNPCs4.agathion_aqu_m00","LineageEffect.u_aga_aqu","1.0"
"13409","LineageNPC4.agathion_can","LineageNPCs4.agathion_can_m00","LineageEffect.u_aga_can","1.0"
"13410","LineageNPC4.agathion_virgo","LineageNPCs4.agathion_virgo_m00","LineageEffect.u_aga_virgo","1.0"
"13411","LineageNPC4.agathion_aries","LineageNPCs4.agathion_aries_m00","LineageEffect.u_aga_aries","1.0"
"13412","LineageNPC4.agathion_capr","LineageNPCs4.agathion_capr_m00","LineageEffect.u_aga_capr","1.0"
"13413","LineageNPC4.agathion_gem","LineageNPCs4.agathion_gem_m00","LineageEffect.u_aga_gem","1.0"
"13414","LineageNPC4.agathion_leo","LineageNPCs4.agathion_leo_m00","LineageEffect.u_aga_leo","1.0"
"13415","LineageNPC4.agathion_lib","LineageNPCs4.agathion_lib_m00","LineageEffect.u_aga_lib","1.0"
"13416","LineageNPC4.agathion_sag","LineageNPCs4.agathion_sag_m00","LineageEffect.u_aga_sag","1.0"
"13417","LineageNPC4.agathion_sco","LineageNPCs4.agathion_sco_m00","LineageEffect.u_aga_sco","1.0"
"13418","LineageNPC4.agathion_tau","LineageNPCs4.agathion_tau_m00","LineageEffect.u_aga_tau","1.0"
"13497","LineageNPC4.agathion_pis","LineageNPCs4.agathion_pis_m00","LineageEffect_br.br_u_aga_pis_b","1.0"
"13498","LineageNPC4.agathion_aqu","LineageNPCs4.agathion_aqu_m00","LineageEffect_br.br_u_aga_aqu_b","1.0"
"13499","LineageNPC4.agathion_can","LineageNPCs4.agathion_can_m00","LineageEffect_br.br_u_aga_can_b","1.0"
"13500","LineageNPC4.agathion_virgo","LineageNPCs4.agathion_virgo_m00","LineageEffect_br.br_u_aga_virgo_b","1.0"
"13501","LineageNPC4.agathion_aries","LineageNPCs4.agathion_aries_m00","LineageEffect_br.br_u_aga_aries_b","1.0"
"13502","LineageNPC4.agathion_capr","LineageNPCs4.agathion_capr_m00","LineageEffect_br.br_u_aga_capr_b","1.0"
"13503","LineageNPC4.agathion_gem","LineageNPCs4.agathion_gem_m00","LineageEffect_br.br_u_aga_gem_b","1.0"
"13504","LineageNPC4.agathion_leo","LineageNPCs4.agathion_leo_m00","LineageEffect_br.br_u_aga_leo_b","1.0"
"13505","LineageNPC4.agathion_lib","LineageNPCs4.agathion_lib_m00","LineageEffect_br.br_u_aga_lib_b","1.0"
"13506","LineageNPC4.agathion_sag","LineageNPCs4.agathion_sag_m00","LineageEffect_br.br_u_aga_sag_b","1.0"
"13507","LineageNPC4.agathion_sco","LineageNPCs4.agathion_sco_m00","LineageEffect_br.br_u_aga_sco_b","1.0"
"13508","LineageNPC4.agathion_tau","LineageNPCs4.agathion_tau_m00","LineageEffect_br.br_u_aga_tau_b","1.0"
"13509","LineageNPC4.agathion_pis","LineageNPCs4.agathion_pis_m00","LineageEffect_br.br_u_aga_pis_c","1.0"
"13510","LineageNPC4.agathion_aqu","LineageNPCs4.agathion_aqu_m00","LineageEffect_br.br_u_aga_aqu_c","1.0"
"13511","LineageNPC4.agathion_can","LineageNPCs4.agathion_can_m00","LineageEffect_br.br_u_aga_can_c","1.0"
"13512","LineageNPC4.agathion_virgo","LineageNPCs4.agathion_virgo_m00","LineageEffect_br.br_u_aga_virgo_c","1.0"
"13513","LineageNPC4.agathion_aries","LineageNPCs4.agathion_aries_m00","LineageEffect_br.br_u_aga_aries_c","1.0"
"13514","LineageNPC4.agathion_capr","LineageNPCs4.agathion_capr_m00","LineageEffect_br.br_u_aga_capr_c","1.0"
"13515","LineageNPC4.agathion_gem","LineageNPCs4.agathion_gem_m00","LineageEffect_br.br_u_aga_gem_c","1.0"
"13516","LineageNPC4.agathion_leo","LineageNPCs4.agathion_leo_m00","LineageEffect_br.br_u_aga_leo_c","1.0"
"13517","LineageNPC4.agathion_lib","LineageNPCs4.agathion_lib_m00","LineageEffect_br.br_u_aga_lib_c","1.0"
"13518","LineageNPC4.agathion_sag","LineageNPCs4.agathion_sag_m00","LineageEffect_br.br_u_aga_sag_c","1.0"
"13519","LineageNPC4.agathion_sco","LineageNPCs4.agathion_sco_m00","LineageEffect_br.br_u_aga_sco_c","1.0"
"13520","LineageNPC4.agathion_tau","LineageNPCs4.agathion_tau_m00","LineageEffect_br.br_u_aga_tau_c","1.0"
"13591","LineageNPC4.agathion_virgo","LineageNPCs4.agathion_virgo_a_m00","LineageEffect_br.br_u_aga_virgo_e","1.0"
"13592","LineageNPC4.agathion_capr","LineageNPCs4.agathion_capr_a_m00","LineageEffect_br.br_u_aga_capr_e","1.0"
"13593","LineageNPC4.agathion_lib","LineageNPCs4.agathion_lib_a_m00","LineageEffect_br.br_u_aga_lib_e","1.0"
"13594","LineageNPC4.agathion_tau","LineageNPCs4.agathion_tau_a_m00","LineageEffect_br.br_u_aga_tau_e","1.0"
"13595","LineageNPC4.agathion_leo","LineageNPCs4.agathion_leo_a_m00","LineageEffect_br.br_u_aga_leo_e","1.0"
"13596","LineageNPC4.agathion_sco","LineageNPCs4.agathion_sco_a_m00","LineageEffect_br.br_u_aga_sco_e","1.0"
"13597","LineageNPC4.agathion_aqu","LineageNPCs4.agathion_aqu_a_m00","LineageEffect_br.br_u_aga_aqu_e","1.0"
"13598","LineageNPC4.agathion_sag","LineageNPCs4.agathion_sag_a_m00","LineageEffect_br.br_u_aga_sag_e","1.0"
"13599","LineageNPC4.agathion_virgo","LineageNPCs4.agathion_virgo_a_m00","LineageEffect_br.br_u_aga_virgo_d","1.0"
"13600","LineageNPC4.agathion_capr","LineageNPCs4.agathion_capr_a_m00","LineageEffect_br.br_u_aga_capr_d","1.0"
"13601","LineageNPC4.agathion_lib","LineageNPCs4.agathion_lib_a_m00","LineageEffect_br.br_u_aga_lib_d","1.0"
"13602","LineageNPC4.agathion_tau","LineageNPCs4.agathion_tau_a_m00","LineageEffect_br.br_u_aga_tau_d","1.0"
"13603","LineageNPC4.agathion_leo","LineageNPCs4.agathion_leo_a_m00","LineageEffect_br.br_u_aga_leo_d","1.0"
"13604","LineageNPC4.agathion_sco","LineageNPCs4.agathion_sco_a_m00","LineageEffect_br.br_u_aga_sco_d","1.0"
"13605","LineageNPC4.agathion_aqu","LineageNPCs4.agathion_aqu_a_m00","LineageEffect_br.br_u_aga_aqu_d","1.0"
"13606","LineageNPC4.agathion_sag","LineageNPCs4.agathion_sag_a_m00","LineageEffect_br.br_u_aga_sag_d","1.0"
"13607","LineageNPC4.agathion_gem","LineageNPCs4.agathion_gem_a_m00","LineageEffect_br.br_u_aga_gem_e","1.0"
"13618","LineageMonster4.Specular_Form","LineageMonsters4.Specular_Form_m00","LineageEffect.s_u824_spec_hand","1.0"
"13618","LineageMonster4.Specular_Form","LineageMonsters4.Specular_Form_m00","LineageEffect.s_u824_spec_hand","1.0"
"14918","LineageMonster13.sp_summon_EmperorCat_mage_A","LineageMonsters14.sp_summon_EmperorCat_mage_m00","LineageEffect2.s_common_deco_a","0.35"
"14919","LineageMonster13.sp_Summon_Unicorn_fighter_A","LineageMonsters14.Sp_Summon_Unicorn_fighter_m00","LineageEffect2.s_common_deco_b","0.35"
"14920","LineageMonster4.summoner_demon_tr_A","LineageMonsters4.summoner_demon_tr_m00","LineageEffect2.s_common_deco_c","0.35"
"15959","LineageMonster12.craft_vehicle_dwarf","LineageMonsters12.craft_vehicle_dwarf_m00","LineageEffect.bo_golem_smoke_a","1.0"
"15959","LineageMonster12.craft_vehicle_dwarf","LineageMonsters12.craft_vehicle_dwarf_m00","LineageEffect.bo_golem_smoke_a","1.0"
"15959","LineageMonster12.craft_vehicle_dwarf","LineageMonsters12.craft_vehicle_dwarf_m00","LineageEffect.u_vehicle_light_big","1.0"
"15959","LineageMonster12.craft_vehicle_dwarf","LineageMonsters12.craft_vehicle_dwarf_m00","LineageEffect.u_vehicle_light_big","1.0"
"15975","LineageMonster.queen_ant","LineageMonsters.queen_ant_m00","LineageEffect.ra_boss_halo_a_ca","3.0"
"15978","LineageMonster3.chaos_golem_ride","LineageMonsters4.chaos_golem_ride_m00","LineageEffect2.s_spacia_deco_d","1.0"
"16102","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_red_deco","1.3"
"16102","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_red_wingdeco","1.3"
"16102","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_red_wingdeco","1.3"
"16103","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_blue_deco","1.3"
"16103","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_blue_wingdeco","1.3"
"16103","LineageMonster7.Pet_Chick_2Step","LineageMonsters7.hawk_armor_m00","LineageEffect2.hawk_blue_wingdeco","1.3"
"18007","LineageMonster2.lilim_knight_10_bi","LineageMonsters2.lilim_knight_m00","LineageEffect.u_deco_fire","1.4"
"18017","LineageNpcEV.pavel_weather_controller","LineageNPCsEV.pavel_weather_controller_m00","LineageEffect2.npc_stand_deco","1.0"
"18043","LineageMonster.ketra_orc_warrior_50_bi","LineageMonsters.ketra_orc_warrior_a_m00","LineageEffect.ra_boss_halo_a_ca","0.8"
"18049","LineageMonster.vale_master_50_bi","LineageMonsters.vale_master_m00","LineageEffect.ra_boss_halo_a_ca","0.5"
